"xCoords","yCoords","width","colorToUse"
"474",2.2,1.8,0.028755544957788,"#AAAAAA"
"475",2.4,1.8,0.028755544957788,"#AAAAAA"
"476",NA,NA,NA,NA
"477",3,1,0.028755544957788,"#e41a1c"
"478",2.8,1.1,0.028755544957788,"#e41a1c"
"479",2.6,1.1,0.028755544957788,"#e41a1c"
"480",NA,NA,NA,NA
"481",2,1.9,0.0269119715480414,"#4daf4a"
"482",2.2,2.3,0.0269119715480414,"#4daf4a"
"483",2.4,2.3,0.0269119715480414,"#4daf4a"
"484",NA,NA,NA,NA
"485",3,5.5,0.0269119715480414,"#e41a1c"
"486",2.8,5.1,0.0269119715480414,"#e41a1c"
"487",2.6,5.1,0.0269119715480414,"#e41a1c"
"488",NA,NA,NA,NA
"489",2,1.9,0.0898541290761142,"#a65628"
"490",2.2,2.1,0.0898541290761142,"#a65628"
"491",2.4,2.1,0.0898541290761142,"#a65628"
"492",NA,NA,NA,NA
"493",3,3.7,0.0898541290761142,"#e41a1c"
"494",2.8,3.5,0.0898541290761142,"#e41a1c"
"495",2.6,3.5,0.0898541290761142,"#e41a1c"
"496",NA,NA,NA,NA
"497",2,1.9,0.0131059662524025,"#377eb8"
"498",2.2,2,0.0131059662524025,"#377eb8"
"499",2.4,2,0.0131059662524025,"#377eb8"
"500",NA,NA,NA,NA
"501",3,2.8,0.0131059662524025,"#e41a1c"
"502",2.8,2.7,0.0131059662524025,"#e41a1c"
"503",2.6,2.7,0.0131059662524025,"#e41a1c"
"504",NA,NA,NA,NA
"505",2,4.6,0.137455136865498,"#ffd300"
"506",2.2,4.8,0.137455136865498,"#ffd300"
"507",2.4,4.8,0.137455136865498,"#ffd300"
"508",NA,NA,NA,NA
"509",3,6.4,0.137455136865498,"#f781bf"
"510",2.8,6.2,0.137455136865498,"#f781bf"
"511",2.6,6.2,0.137455136865498,"#f781bf"
"512",NA,NA,NA,NA
"513",2,4.6,0.000584326707266131,"#e41a1c"
"514",2.2,4.3,0.000584326707266131,"#e41a1c"
"515",2.4,4.3,0.000584326707266131,"#e41a1c"
"516",NA,NA,NA,NA
"517",3,1.9,0.000584326707266131,"#f781bf"
"518",2.8,2.2,0.000584326707266131,"#f781bf"
"519",2.6,2.2,0.000584326707266131,"#f781bf"
"520",NA,NA,NA,NA
"521",2,4.6,0.86039410435683,"#f781bf"
"522",2.2,4.6,0.86039410435683,"#f781bf"
"523",2.4,4.6,0.86039410435683,"#f781bf"
"524",NA,NA,NA,NA
"525",3,4.6,0.86039410435683,"#f781bf"
"526",2.8,4.6,0.86039410435683,"#f781bf"
"527",2.6,4.6,0.86039410435683,"#f781bf"
"528",NA,NA,NA,NA
"529",2,4.6,0.665189864301055,"#AAAAAA"
"530",2.2,4.2,0.665189864301055,"#AAAAAA"
"531",2.4,4.2,0.665189864301055,"#AAAAAA"
"532",NA,NA,NA,NA
"533",3,1,0.665189864301055,"#f781bf"
"534",2.8,1.4,0.665189864301055,"#f781bf"
"535",2.6,1.4,0.665189864301055,"#f781bf"
"536",NA,NA,NA,NA
"537",2,4.6,0.0570379458798827,"#4daf4a"
"538",2.2,4.7,0.0570379458798827,"#4daf4a"
"539",2.4,4.7,0.0570379458798827,"#4daf4a"
"540",NA,NA,NA,NA
"541",3,5.5,0.0570379458798827,"#f781bf"
"542",2.8,5.4,0.0570379458798827,"#f781bf"
"543",2.6,5.4,0.0570379458798827,"#f781bf"
"544",NA,NA,NA,NA
"545",2,4.6,0.0224518992672807,"#a65628"
